,persian,english
4118,بیمۀ مصدوم نقلیۀ بیمه‌نشده,uninsured motorist insurance
4119,"واحد، بانک بدون شعبه، بخش یا قسمت یك شركت، مقدار حجمی، واحد معامله، گروه، معاملۀ واحد

	[ به طور کلی ] واحد ( پول، کالا )>
	[ بانکداری ] بانک بدون شعبه (کوتاه‌شدۀ  unit banking)>
	[ مالی ] 3-1. بخش یا قسمت یك شركت ( خط تولید یا كارخانه ) 3-2. مقدار حج",unit
4120,هزینۀ واحد ( کالا ),unit cost
4121,قیمت واحد ( کالا ),unit price
4122,واحد حساب,unit of account
4123,"مجموعۀ اوراق بهادار 

( اوراق بهادار با ویژگی‌های مشترک )",universe of securities
4124,"شرکت مختلط غیرسهامی غیراهرمی

متضاد  leveraged program",unleveraged program
4125, marital deduction,unlimited marital deduction
4126,قرضۀ شهرداری به پشتوانۀ عوارض,unlimited tax bond
4127,اوراق بهادار پذیرفته‌نشده ( در بورس ),unlisted security	
4128,معاملات اوراق بهادار پذیرفته‌نشده ( در بورس ),unlisted trading
4129,حساب نقدی کارگزاری,unmargined account
4130,"سود سهام پرداخت‌نشده

 ex - dividend",unpaid dividend
4131,"سود ( یا زیان ) تحقق‌نیافته

مترادف  paper profit or loss

متضاد  realized profit or loss",unrealized profit or loss 
4132, letter security,unregistered stock
4133,بدهی تضمین‌نشده,unsecured debt
4134,وام بدون وثیقه,unsecured loan
4135,"معاملۀ معكوس ( اوراق بهادار )

 offset",unwind a trade
4136,"ارتقا 

( افزایش رتبۀ كیفی سهام یا اوراق قرضه و نیز سبد اوراق بهادار )

متضاد  downgrading",upgrading
4137,کمترین قیمت ( حراج ),upset price	
4138,"بیشترین افزایش مورد انتظار  

( قیمت سهام، اوراق قرضه، کالا )",upside potential
4139,"بازار درون کارگزاری

 off board",upstairs market
4140,"بالادستی

متضاد  downstream",upstream
4141,"جَست مثبت

( معاملۀ اوراق بهادار به قیمتی بیش از معاملۀ ماقبل )

مترادف  plus tick

 short - sale rule",uptick
4142,"قاعدۀ جست مثبت 

( فروش عاریه‌ای )

 short - sale rule",uptick rule
4143,"روند صعودی

( قیمت سهام، اوراق قرضه، یا قرارداد آتی کالایی یا بازار به طور کلی )

 trendline",uptrend
4144,"عمر مفید

مترادف  depreciable life

 residual value",useful life
4145, sources and applications (or uses ) of funds statement,uses of funds
4146, savings bond,U.S. savings bond
4147,قوانین ربا,usury laws	
4148,کالاهای عام‌المنفعه,utility goods
4149,"قرضۀ تأمین خدمات عام‌المنفعه

 revenue bond",utility revenue bond
4150, high - ticket items,valuables
4151,ارزشیابی,valuation
4152,"ذخیرۀ ارزشیابی

مترادف  valuation account",valuation reserve
4153,مالیات بر ارزش افزوده,value - added tax-VAT
4154,"کارگزار درصدی

 share broker",value broker
4155,تعدیل قیمت ( سهام ),value change
4156,"تاریخ ارزش،تاریخ واریز، زمان تسویه

	[ بانکداری ] تاریخ ارزش ( قابل استفاده شدن وجوه انتقالی برای انتقال‌گیرنده ) ( f loat)>
	[ معاملات ] تاریخ واریز>
	[ معاملات یورو دلار و ارز ] زمان تسویه>
</ol>
مترادف  settlement date, delivery date

 forward ",value date
4157,"نشریۀ بررسی‌های سرمایه‌گذاری ولیولاین 

( متعلق به شركت ولیولاین )",Value Line Investment Survey
4158,صندوق سرمایه‌گذاری مشترك ارزش,value mutual fund
4159, volatility,variability
4160,"مستمری متغیر ( بیمۀ عمر )

متضاد  fixed annuity

 single premium deferred annuity",variable annuity
4161,"هزینۀ متغیر

 fixed cost",variable cost
4162,"نرخ بهرۀ متغیر

مترادف  adjustable interest rate",variable interest rate
4163,بیمۀ عمر با ارزش متغیر,variable life insurance
4164,گواهی سپرده با نرخ متغیر,variable rate certificate
4165,بدهی دیداری با بهرۀ متغیر,variable - rate demand note	
4166, adjustable rate mortgage-ARM,variable rate mortgage-VRM
4167, adjustable rate preferred stock-ARP,variable rate preferred stock
4168,"مغایرت، واریانس

	[ حسابداری ] مغایرت ( تفاوت بین هزینۀ استاندارد و  هزینۀ واقعی )>
	[ مالی ] مغایرت ( تفاوت بین اقلام متناظر ترازنامه و صورت سود و زیان مقایسه‌ای، نتایج واقعی و پیش‌بینی‌شده )>
	[ آمار ] واریانس>
</ol>
 standard deviation",variance
4169, derivative pricing models,Vega pricing model
4170,"آژانس دولتی خرید و مدیریت وام‌های کوچک تجاری

( خرید وام، تجمیع و انتشار اوراق بهادار بر مبنای آن )",VELDA SUE-Venture Enhancement & Loan Development Administration for Smaller Undercapitalized Enterprises 
4171,"سرعت گردش پول

مترادف  velocity of circulation

 fiscal policy",velocity
4172,"سرمایۀ مخاطره‌آمیز

مترادف  risk capital",venture capital
4173, common size statement,vertical analysis
4174,"نمودار خطوط عمودی 

( تحلیل تکنیکال )

 technical analysis",vertical line charting
4175,"ادغام عمودی

 merger",vertical merger
4176,"دامنک عمودی 

( استراتژی اختیار معامله )

مترادف  price spread

 option premium",vertical spread
4177,"انتقال حق

( صندوق بازنشستگی طرح مشاركت در سود )",vesting
4178,"عرضۀ در راه

( رقم دلاری قرضۀ شهرداری آمادۀ عرضه به بازار در ماه بعد )

مترادف  calendar, 30 - day visible supply",visible supply
4179,باطل ( کان لم یکن ),void
4180,قابل ابطال ( قرارداد ),voidable	
4181,عقد باطل,void contract
4182,"متلاطم

( نوسان شدید قیمت سهام، اوراق قرضه یا کالای خاص )

 duration",volatile
4183,تلاطم,volatility
4184,"حجم معاملات

( سهام، اوراق قرضه یا قراردادهای آتی کالایی )",volume
4185,"حذف حجم معاملات 

( عدم انعكاس حجم معاملات روی نوار گزارشگر معاملات و انعكاس صرفاً نماد و قیمت )

 consolidated tape",volume deleted
4186,"تخفیف خرید عمده

مترادف  quantity discount",volume discount	
4187,"طرح اختیاری تجمیع سرمایه‌گذاری 

( صندوق سرمایه‌گذاری مشترک )

 constant dollar plan",voluntary accumulation plan
4188,"ورشکستگی به اختیار ( شرکت )

 bankruptcy abuse prevention and consumer protection act of 2005",voluntary bankruptcy
4189,"انحلال اختیاری ( شرکت )

متضاد  involuntary liquidation

 voluntary bankruptcy",voluntary liquidation
4190,"طرح مشارکت داوطلبانۀ کارکنان

( طرح بازنشستگی با كسر از حقوق )",voluntary plan -  voluntary deductible employee contribution plan
4191,"حساب شما 

( حساب بانك كارگزار برای یك بانك خارجی )

 nostro account",vostro account
4192,"حق رأی

 nonvoting stock",voting right
4193,گواهی تولیت رأی,voting trust certificate
4194,"صندوق لاشخوری 

( صندوق سرمایه‌گذاری  در بدهی شركت‌های ورشكسته و كشورهای در بحران )",vulture fund
4195,ودیعه ( سپرده ),wadia
4196,واگذاری دستمزد,wage assignment
4197,"توقیف دستمزد

 garnishment",wage garnishment
4198,"دورۀ انتظار، دورۀ انتظار

	[ اوراق بهادار ] دورۀ انتظار ( از زمان تشكیل پروندۀ ثبتی تا انتشار اوراق بهادار و عرضۀ آن به عموم ) (مترادف  cooling off period)>
	[ بیمه ] دورۀ انتظار ( بیمۀ از کارافتادگی )>
</ol>
مترادف  elimination period

 disabilit",waiting period
4199,معافیت از پرداخت حق بیمه,waiver of premium
4200, orphan stock,wallflower
4201,"اوراق بهادار بی‌ارزش

( نظیر سهام شركت‌های ورشكسته یا اوراق قرضۀ نكول‌شده )",wallpaper
4202,"وال استریت، نماد جامعۀ سرمایه‌داری

	وال استریت ( واقع در منهتن نیویورک )>
	نماد جامعۀ سرمایه‌داری>
</ol>
متضاد  Main Street",Wall Street	
4203,بازار سایۀ وال استریت,Wall Street Shadow Market	
4204,"بازار والراس

( ساز و كار فرایند دریافت سفارش‌های خرید و فروش، تحلیل و سپس تصمیم‌گیری در مورد قیمت بازار )

مترادف  call market",Walrasian Market
4205,"پرداخت در همان روز 

( اطلاعیه روی نوار گزارشگر بورس كه خریدار بلوك سهام همان روز معامله را نقداً تسویه می‌كند )",wanted for cash
4206,"اوراق بهادار دفاعی

مترادف  defense stocks, war brides",war babies
4207,"بودجۀ قبضۀ مالکیت 

( تأمین مالی قبضۀ مالکیت یا دفاع در برابر آن )

 takeover",war chest
